age,monthly_salary,monthly_expenses,current_savings,dependents,risk_tolerance,expected_return,inflation_rate,retirement_goal_age,goal_type,target_corpus,risk_label
27,92927,55486,3490800,4,Low,12.622691875656026,4.969471513607333,52,Normal,55960287.784792505,Low
47,140243,76513,4840996,3,Low,7.4585260106637365,4.130713397978033,54,Aggressive,30472521.455656696,Low
51,61485,35450,2653606,1,High,11.446763250788663,5.313532622462356,62,Aggressive,18795915.5218681,Low
34,264247,197853,2564723,5,High,11.235952698478187,4.361104586355813,47,Luxury,103387150.89092804,Medium
31,24750,14878,1746972,2,High,11.362060198770173,6.526127188962311,50,Luxury,14836533.34690586,Low
53,299393,232883,2488113,0,Low,6.864750032660449,4.634230015111583,58,Aggressive,87624984.78677754,Medium
31,195786,94098,2880986,0,Medium,12.786169810798478,7.916373211977987,52,Aggressive,139809221.3708244,Medium
48,130603,31828,3073227,3,Medium,10.121054643817544,6.534204790257519,69,Luxury,36074559.981174484,Medium
50,96174,74321,1159031,0,High,13.238983356122752,6.822188156820191,56,Normal,33128488.26389439,Medium
36,240864,117761,3329639,4,High,12.811933883687564,4.151676387334989,69,Normal,135241341.7996988,Medium
56,271647,26568,2202380,0,Low,12.662878141369493,4.041349144071402,62,Luxury,10109180.911636282,Medium
33,159286,118581,2273939,4,Medium,7.012484229756842,6.360184929323131,46,Normal,79298405.0278323,Medium
57,248877,144143,3350741,5,Medium,11.210565645697873,4.807805792775936,66,Normal,65986861.29874195,Medium
23,173468,56245,542390,3,Low,12.274218155069939,6.6467925905831855,46,Normal,74131799.48959377,High
34,49607,13037,3478312,0,Medium,9.799113755449467,4.2304611140300254,50,Normal,7589505.2473963825,Low
50,268734,91094,48192,4,Medium,8.975301288091838,6.885112830883007,64,Normal,69414804.97141467,High
37,289080,215267,72705,2,Low,6.3383583201162645,7.752308156571237,64,Normal,484860076.1202116,High
24,236185,92857,3591103,2,Low,11.446982415189211,7.553404622074494,57,Normal,307987626.7791415,Medium
33,39569,20053,767997,0,Low,12.001357956405116,6.273351969734765,61,Normal,33050894.45789721,Medium
30,105753,38339,3092572,0,Medium,7.356485844850942,5.646103335180161,62,Luxury,66691962.16848566,Low
39,244651,64574,1502754,2,Medium,6.215769490450504,5.634230457322072,47,Luxury,30034217.865556788,Medium
40,181127,24356,1559215,2,Medium,7.279640360013244,7.461199820222417,65,Aggressive,44159012.263552815,Medium
25,68288,53166,383484,5,Medium,12.990889072024082,4.905095561710471,50,Normal,52804366.246932335,High
53,211234,24696,3651521,5,High,12.194662755248054,5.062207265409169,60,Aggressive,10468236.269762244,Medium
22,195503,135496,2416410,3,High,12.121715225749035,4.076942534165912,55,Normal,151966223.2101889,Medium
57,32489,17078,4446225,1,Medium,10.459685581684216,4.312190734949789,63,Aggressive,6600375.78791422,Low
22,150078,49475,4090004,5,High,12.798770327135525,4.26037822769104,47,Luxury,42120106.433739536,Low
34,42040,28163,3767542,0,High,8.260470414621192,6.217585615890311,59,Luxury,38169002.115383804,Low
47,45556,24744,3597106,0,High,12.447152588285679,6.575431736184743,63,Aggressive,20563866.323582508,Low
55,275592,171966,1817118,2,Medium,8.69158246577514,5.7622901936539215,61,Luxury,72201949.40422949,Medium
43,121426,57660,1948055,4,Low,11.473481148748265,6.773096706720823,59,Aggressive,49361154.704080656,Medium
37,31270,23757,2067216,4,Medium,9.689166896363176,7.116856951979908,45,Luxury,12353084.738607796,Low
56,268654,191667,1988384,3,Low,10.041680280723895,5.7002455269786685,68,Luxury,111835723.9317311,Medium
50,123955,24770,2441428,1,Medium,8.441935764646306,6.407731645620887,68,Aggressive,22728176.570299618,Medium
55,260690,60331,3448736,0,High,10.946506167799289,4.770930591707049,63,Normal,26277750.802853122,Medium
55,38667,18312,982554,2,Low,9.805969682400166,5.509341702066383,62,Luxury,7996380.069428612,Low
24,102965,78367,4833375,2,Medium,11.204415498963783,5.7852801971418675,48,Luxury,90669298.11205909,Low
26,33930,19740,3237993,2,Low,6.391836630797312,7.912247791355472,70,Luxury,168881047.78036317,Low
32,96044,66850,1678546,5,Low,12.776679616833452,4.2814531292527676,65,Luxury,79993761.3569831,Medium
57,50717,23960,2980986,5,Low,6.228639687480469,6.39177453370611,69,Normal,15118360.614804223,Low
34,225569,52291,36824,0,Medium,10.156295283149863,6.058907939141658,67,Aggressive,109295979.01299153,High
44,61912,12596,3406123,3,Medium,13.475910066335501,6.174934033771722,61,Normal,10464727.019332938,Low
49,33912,11254,2402201,5,Medium,11.574537927868146,5.20882538394169,56,Luxury,4817185.482113522,Low
58,169317,62249,1534577,4,High,11.69581250256553,6.655867793171962,68,Luxury,35571417.36495164,Medium
41,226190,156727,1757190,0,Low,13.029150629029814,6.862911052618255,59,Luxury,155292716.32750672,Medium
57,93817,50452,2036603,4,Low,13.018102438246185,7.650468002530335,69,Normal,36659852.09882406,Medium
48,23842,10343,596748,0,High,12.376055049025055,6.190930832308505,69,Aggressive,10954782.53900674,Low
39,287568,223170,546007,3,Medium,12.0621662814026,5.983989011362922,60,Aggressive,226883314.26600552,High
40,291427,90908,1946389,5,Low,10.486962595142934,7.819806981411183,53,Luxury,72577918.43067025,Medium
30,234526,187292,3918564,5,High,7.63159114074397,7.7539614904282095,67,Normal,890575144.6937081,Medium
23,263217,143408,4703462,3,Medium,8.48476662757244,4.546856876587272,66,Normal,291116485.7820419,Medium
40,207995,19467,1122070,0,Low,11.844970159885403,6.617084764247431,61,Normal,22427618.259864356,High
54,210799,13999,3653061,4,Medium,8.512965807489028,5.977399416198571,59,Normal,5614157.070170583,Medium
42,28351,10038,3616735,4,High,7.617029713346129,5.373898084033694,50,Aggressive,4577547.033349796,Low
59,146674,40378,282148,1,Low,9.331755643042118,4.09118520439724,65,Luxury,15408124.523467233,High
24,54363,10153,1126743,2,High,7.9296843518735995,4.135407331411634,60,Aggressive,13099622.056811096,Medium
35,291836,162932,3281521,2,Low,7.102014322760044,6.5861947701443615,59,Normal,225917893.19256768,Medium
45,149651,46724,929269,1,Low,13.00677086973273,4.346265742424053,70,Luxury,40605424.745291814,Medium
22,176511,66474,3686516,3,Low,7.716831708728327,7.692519689032574,70,Normal,699324761.2424797,Medium
35,240204,126299,4568188,5,High,6.998445115627118,4.396818702332818,59,Luxury,106418103.74928196,Medium
28,290171,230581,2330314,2,Medium,6.083597164051532,4.765593848336284,67,Aggressive,425082529.95720136,Medium
50,194284,142890,3232727,2,High,7.954766877102986,7.736637702525577,66,Normal,141233517.27805018,Medium
49,172177,57330,314217,1,High,6.451392730548763,5.774153966923469,69,Aggressive,52856013.27477574,High
59,262893,62598,963864,2,Low,10.485414999218662,7.60315803350305,64,Luxury,27089862.480785795,High
29,267059,121600,4180020,1,Medium,6.558606535755908,7.671028156783457,50,Luxury,172238761.24306926,Medium
32,258232,53452,3816197,3,Medium,9.149700250774314,5.627109817430714,59,Luxury,70310619.77718267,Medium
22,161051,19521,1502127,1,Medium,11.995188728859258,5.672191129492882,65,Luxury,62796286.39237618,Medium
48,149868,77472,1146291,1,High,10.304083757399226,5.356958202637296,56,Aggressive,35283512.278354585,Medium
59,200418,58742,492552,2,Medium,11.210096858081187,7.345289398400695,70,Luxury,38431106.30738588,High
52,244589,87654,698445,0,High,6.809818308019341,5.7364321004617045,70,Normal,71768972.09062953,High
26,116399,13354,2955515,2,High,11.70022711601451,7.753721268670942,46,Normal,17839315.040447596,Low
44,37624,25168,337888,5,Medium,7.937526394356286,6.243820544488411,64,Luxury,25353828.717822336,Medium
56,102564,52938,756742,0,Low,7.575318436566887,4.030432647199249,65,Normal,22663784.199278507,Medium
40,32967,21343,3230546,4,High,9.338733335537242,6.1962377195545395,46,Aggressive,9183992.176101724,Low
56,174776,91278,3781061,4,Low,6.903641763875457,6.307678926049549,63,Aggressive,42018430.16113498,Medium
35,97569,73972,4677442,0,High,6.245098126631383,6.384548288915767,55,Aggressive,76517309.97335446,Low
45,147055,74695,4819896,5,Medium,11.472373552243049,6.531863899224129,51,Luxury,32755930.409546185,Low
35,253416,89492,3958323,2,High,10.791602154505426,5.361855940110651,67,Normal,142815273.29358143,Medium
49,153619,96256,2932355,1,Medium,9.659198545480422,4.342834222014819,55,Luxury,37267034.8602185,Medium
48,116531,61646,2131194,4,Low,12.233023606311209,6.213998084560625,65,Aggressive,51536630.622212715,Medium
55,219307,57482,2591481,5,Medium,9.534684748310555,6.58874471838546,70,Aggressive,44907961.249058165,Medium
60,89109,60323,4170217,3,Medium,9.707770504013041,7.4340980720987275,66,Normal,27826401.02800016,Low
50,153639,119058,3351329,5,High,8.923416285844898,6.188278406905749,61,Aggressive,69138860.1357274,Medium
56,239118,41847,313605,3,High,6.697311525881987,5.0198384270581915,67,Aggressive,21516438.54359138,High
35,92118,25040,1724216,5,High,9.451664694056056,6.297621054689361,65,Luxury,46931229.54091635,Medium
27,164647,105606,3691232,4,High,11.317704299452492,5.540071482949029,67,Luxury,273845247.13357115,Medium
47,258637,111411,4209084,5,Medium,11.460634237604339,5.923721951554807,68,Luxury,111919873.88143633,Medium
27,94894,11456,2643398,2,Medium,9.13662412271383,7.602803383379572,51,Luxury,19948963.148326356,Low
21,76647,24577,937599,1,Medium,6.762814560996064,7.470808434469571,63,Luxury,152002870.06780672,Medium
31,46765,37201,3163411,3,Medium,8.672918055103857,7.327220637743706,60,Aggressive,86748599.98704466,Low
49,134081,36537,3830978,0,Low,12.32256381403348,6.218450729462809,63,Normal,25506661.39464475,Low
43,165662,54444,770270,1,Low,10.819722482448054,4.587474763953992,52,Normal,24456166.07237504,High
56,56140,10982,2546600,4,Medium,9.050197663911497,7.078419884541143,63,Luxury,5317608.635056619,Low
54,294940,59265,1991356,2,Low,7.783761879162457,4.058387333217679,59,Aggressive,21692269.86412847,Medium
49,56024,27490,1494978,0,High,7.177734530092494,5.929591906002824,60,Aggressive,15541262.12133909,Low
58,296777,219935,910766,2,Low,13.652477069054274,6.259157928931649,66,Aggressive,107237470.60853586,High
41,43692,29820,1493525,1,Medium,9.308411155748665,6.355429715514341,51,Aggressive,16566301.469365757,Low
22,20261,14878,4739355,5,High,6.34715945190256,4.104138167247324,59,Aggressive,19768856.848070625,Low
46,24135,16884,1112555,2,High,11.01894396530276,5.349313928772122,52,Normal,6924475.265141633,Low
46,125550,62887,4376116,2,High,12.15328128382614,7.851604668058064,51,Luxury,27530569.01777607,Low
35,59272,20917,2205318,3,Medium,6.01594964599755,6.485444147470577,62,Normal,34233973.56770346,Low
55,92308,49995,3956183,4,High,6.601891354597748,7.634643946199194,61,Luxury,23321705.050297584,Low
22,42836,21769,3277728,5,Medium,12.095354165228397,7.475798910151931,68,Luxury,179991132.66528252,Low
49,92125,39543,2309833,4,Medium,12.254952603991281,7.904473572789145,65,Normal,40070252.07479033,Low
55,154774,17029,3697901,4,High,13.637000938426628,6.296888088903354,67,Normal,10630581.115000056,Medium
21,181908,94244,4367493,3,High,10.14553472805211,7.701860294845154,60,Aggressive,510598990.0555433,Low
22,190541,72820,2898750,5,Low,9.130911202084587,6.37912936069783,50,Normal,123410472.22531657,Medium
39,231987,84409,741440,1,Low,7.714856936360939,7.375893451526655,54,Normal,73639675.78653012,High
26,54359,20874,669554,1,Medium,13.72472764073888,7.986096040712646,51,Aggressive,42748703.74578532,Medium
57,248836,118022,3972638,1,High,10.847351144687554,6.748283074590976,66,Luxury,63728296.87303572,Medium
40,75739,39122,3852792,0,High,13.229743432482454,6.830798314124106,53,Normal,27707443.88220483,Low
56,274835,90821,4234831,1,High,12.138140225796482,5.938403605487853,61,Normal,36355879.50243431,Medium
55,147806,91291,3204244,4,Medium,6.562319540415711,5.811780930494509,60,Normal,36326147.29861925,Medium
52,131215,53891,4508975,3,High,7.208174894589463,5.952692737187348,59,Normal,24233798.203456953,Low
34,207425,53559,3096314,3,Low,12.250635324458635,4.850475898560054,50,Luxury,34283109.856635444,Medium
48,233635,129160,3528696,2,Low,13.10055559487419,6.392902796414791,61,Normal,86718917.51292585,Medium
54,201311,92020,2907398,3,Low,7.274477194377313,7.39253146183847,63,Normal,52452984.14498298,Medium
50,274248,106640,3583271,4,Low,8.800717815003594,5.775182785656794,63,Luxury,66378982.27371431,Medium
49,199290,154618,2047793,3,High,6.294380442046491,5.440427684935869,69,Aggressive,133821065.23795407,Medium
56,64447,13307,4780119,5,Medium,6.594500154303485,4.226085899419706,63,Normal,5333796.12853023,Low
24,85670,24426,1475140,3,Low,11.610670474557052,4.874673152157486,70,Aggressive,65436813.51084276,Medium
27,60859,35488,2603821,1,Low,7.1509580738706156,5.281916896151831,53,Normal,40588327.34488803,Low
48,65131,24926,3897251,5,Medium,9.093507181398333,5.076907303856231,54,Normal,10065087.076866511,Low
25,33751,12738,328945,0,High,6.41268729910304,5.914544158498929,69,Normal,47892660.28236801,Medium
57,217335,161325,467801,0,Low,7.971888896096182,4.378078469435495,69,Aggressive,80934651.08196543,High
56,275934,163493,558870,2,Medium,13.897620029711925,5.076462420122628,66,Aggressive,80477568.90039577,High
28,296056,38821,4054206,2,High,7.795752785358243,7.308868106119234,64,Luxury,147594466.44558477,Medium
53,81182,11599,2324991,5,High,11.165016708303039,4.768676888091669,67,Aggressive,6680088.761635271,Low
47,57097,31780,4896778,3,High,7.186290043367438,5.685650199872478,57,Luxury,16574307.18686002,Low
30,33418,12133,1804809,4,High,8.565126227944441,6.407126247642505,53,Luxury,15185037.933359493,Low
27,47529,27708,4238419,1,High,7.304025706349063,5.3432442719483895,46,Normal,22348765.03920878,Low
35,160861,32983,3698215,2,Low,9.267981684082992,5.063947776098017,69,Normal,53068612.437801436,Medium
28,167794,101313,4553240,5,Low,7.043016844510835,6.750071916544207,52,Luxury,145754731.21405673,Low
36,104286,72404,3934865,0,High,6.300539405409284,7.45023688851073,67,Luxury,201517381.0581455,Low
43,273720,34972,3283733,4,Low,13.715549527528587,5.205529545369083,62,Aggressive,27515315.16903452,Medium
32,29026,12448,4718671,4,Medium,6.59504564224247,6.372937121328684,68,Aggressive,34525682.19102516,Low
59,47855,15328,2468462,0,Medium,10.249189095446834,6.423433194415557,68,Aggressive,8052711.347270848,Low
31,76042,18978,1541395,5,Medium,12.650694092105024,6.653585245558777,68,Luxury,61725367.87419794,Medium
54,273416,153605,2980129,2,High,11.882678929498503,4.369515874407684,59,Normal,57068302.18145137,Medium
33,273585,105337,1125777,3,Low,10.01551666298667,7.901236182813486,55,Normal,168377263.04371983,High
44,102848,78789,3834138,3,Low,13.346637740417364,6.339572797056688,51,Luxury,36345548.057440676,Low
22,185226,141606,1670364,0,High,12.289976982056093,5.503394042014396,68,Aggressive,499411732.3509603,Medium
25,66640,20108,3329851,0,High,13.994489061064856,6.648417843072384,66,Aggressive,84454195.0087076,Low
38,69818,45834,1050086,4,High,12.24636329452101,6.112238551958763,48,Luxury,24886497.602475297,Medium
22,185426,146220,2439781,5,Medium,6.991047505438328,5.347842778004303,55,Normal,244779127.77674004,Medium
30,196610,41680,658983,5,Medium,11.681696909874622,7.350101569494791,70,Normal,213376875.9081125,High
47,132419,50200,1221993,1,Low,11.665348173689313,7.678668815459316,65,Luxury,57037328.29878137,Medium
45,253967,202724,3176938,0,Low,6.494537852548294,6.712026489717262,58,Normal,141514257.5138635,Medium
58,52789,27493,2100360,1,High,10.758024385975302,7.287836148795432,65,Aggressive,13495742.724405184,Low
55,165324,16883,3967795,0,Low,11.231677967352578,4.635371993976155,64,Luxury,7615134.50896594,Low
44,53941,21290,2994795,5,Low,7.294875783005679,6.2804305057949215,66,Luxury,24393247.62055662,Low
22,83926,65900,2420764,3,Low,6.256182669554907,5.04180970806193,63,Aggressive,148544535.28272137,Low
45,145945,17837,1046625,0,Low,11.044628955101697,7.179565336002149,51,Normal,8111758.558635264,Medium
32,238407,31087,1603942,1,High,11.692235681145473,5.4916312213991,60,Normal,41668156.720516816,Medium
48,270777,109093,270692,0,Medium,6.618009174856771,7.757403619010212,61,Luxury,86443169.45084946,High
29,68861,26395,4932258,0,Medium,13.34778972102042,4.380628907570335,53,Luxury,22157499.191045485,Low
23,251741,173773,1655876,4,Medium,8.134353463361855,4.2368486309118545,64,Normal,285743095.7219491,Medium
51,94790,66236,3443899,1,Low,6.794871591120439,5.4775126420516,62,Aggressive,35725147.41930236,Low
55,173831,128712,1142295,0,Low,6.246507710137749,6.284418884811147,68,Luxury,85279593.98742728,Medium
59,261612,76693,3368802,1,Low,7.809885887437097,5.534649275120851,70,Normal,41612399.96447131,Medium
45,226934,69259,4365037,4,High,10.915627043883408,7.113845979031867,63,Normal,71584419.63807262,Medium
48,22746,15623,2424855,5,Medium,11.57583772052513,7.170352446076125,69,Luxury,20065663.534029663,Low
39,299857,201473,3181327,2,High,10.155001858511145,7.2341047791278505,50,Luxury,130316780.99067837,Medium
21,146404,22631,3675853,1,Low,6.770696974236548,4.024584101263152,59,Normal,30408328.483510822,Low
55,56266,44659,1286880,0,High,7.62182596720125,6.683630897126511,61,Aggressive,19752268.37830721,Medium
46,268008,212983,2294547,1,Low,8.196919918859386,7.90774883332083,62,Aggressive,215927677.31736648,Medium
34,45047,12442,2423966,3,Low,13.670636745336903,4.931352127884338,62,Luxury,14366764.99338207,Low
40,124902,17530,2029472,5,Low,10.379935884122652,7.481919589866386,67,Normal,36894306.69604542,Medium
48,103207,41697,834927,3,Low,10.37015495521206,6.195092742354804,56,Luxury,20233063.87713835,Medium
30,185783,35055,3388043,4,Medium,7.580442698288964,7.048659599602111,59,Aggressive,75810088.39172585,Medium
23,235449,114157,1096821,5,Medium,11.032577668024784,4.070037451712663,69,Normal,214588528.1911971,High
24,283675,197912,4037640,3,Low,11.996047303267677,5.78773747413714,62,Aggressive,503658162.31916237,Medium
21,92042,56108,2651897,1,Low,7.987508563502837,6.7244320908960695,64,Luxury,276370509.97221375,Low
41,166650,62672,1131386,4,Medium,7.859496893905178,6.561757450677357,55,Aggressive,45773492.54817042,Medium
53,273547,184479,1049033,3,Low,8.090118953001632,6.515531008530571,59,Normal,80825018.22582474,High
26,118937,31151,2892702,4,Low,12.079763699506898,5.922429139858922,48,Luxury,33138111.194444712,Low
29,96684,53059,716366,0,Low,13.23754018057777,5.923787722897037,48,Aggressive,47506918.2370729,Medium
48,66717,17571,4357460,2,Low,8.990096991759046,7.235180241691506,65,Luxury,17284292.0918917,Low
34,274756,15479,4754361,5,Medium,8.692844833441104,4.065729422309865,66,Normal,16623084.010896968,Medium
55,107202,55163,2507110,2,Medium,10.770013574875005,7.043455766058328,65,Aggressive,32686644.884568244,Medium
48,260778,61665,4952514,5,High,10.74547224784982,4.728667299289688,57,Luxury,28038203.534323197,Medium
25,169339,108125,3507808,4,High,9.90843369087248,7.142500916280396,58,Luxury,316072052.5604802,Medium
34,168801,28748,4994589,4,High,7.738995645097432,7.727778324072118,64,Normal,80456288.54787213,Low
29,276106,153637,3360168,5,High,13.488147115649118,5.1443088658266936,59,Normal,207582239.2601098,Medium
35,72405,54651,4490320,5,Low,9.823362568529095,7.286076479329268,53,Aggressive,58143330.44962618,Low
52,295179,194629,2115188,4,Low,8.98335631835985,6.0043642375330455,57,Aggressive,78153338.4624471,Medium
27,268496,124186,933996,2,Low,8.768002380642375,4.291480142305584,59,Aggressive,142940892.95148742,High
28,35672,19478,4108356,2,High,13.418969782249771,4.845071337610364,46,Normal,13693988.781951757,Low
41,114618,16657,462818,4,Medium,12.133896283544365,6.31701492050875,51,Aggressive,9220315.54278481,High
37,244524,87816,858509,3,Medium,9.575300826057784,5.149552129350061,59,Normal,79516691.98474793,High
48,227692,70544,4429055,1,Medium,7.179732208737757,4.562825638373224,67,Normal,49402649.59119444,Medium
51,271346,22365,3554039,2,High,9.561355385535384,4.841209197369563,61,Luxury,10764909.17774717,Medium
52,202975,30847,136060,2,High,12.19154421933335,7.656026261865481,59,Luxury,15509671.72084063,High
21,209244,59761,4713553,5,High,6.794423976495232,4.465083299811274,45,Luxury,51150140.206852995,Medium
28,144296,82218,374107,2,Medium,6.865570133295772,4.069927186622058,47,Luxury,52634187.86051119,High
53,99031,44359,108102,2,Medium,12.521626179044974,6.329480872835186,66,Luxury,29552962.178119563,High
41,181786,44793,1528028,1,High,11.559954865283746,7.834450297842272,54,Aggressive,35824429.183788836,Medium
21,101123,56268,4102087,4,Low,7.656578726818542,6.551213356904999,51,Luxury,113275169.9188397,Low
56,278838,89390,2163120,4,High,9.66830869946386,7.894132184696113,61,Normal,39210223.990567304,Medium
32,236216,175411,1838761,5,Medium,7.595199389995792,6.8153215815925305,66,Aggressive,495129563.59407973,Medium
32,177306,106964,1339856,5,Low,7.125719571108922,5.85125802409705,63,Normal,187040489.75852698,Medium
25,128862,18514,2701831,3,Medium,13.44547612088253,5.793293433355,48,Aggressive,20284236.795482453,Medium
39,109461,20929,139218,1,Medium,7.461089270005945,7.620718387628843,47,Luxury,11298917.208639527,High
44,95856,57962,1248510,1,High,7.591820159169237,4.106662596968117,57,Luxury,29341710.852732044,Medium
48,104563,55552,44494,4,Medium,7.27132505065306,6.0693229897771666,61,Aggressive,35849930.11125592,High
53,258789,148945,4003100,5,Low,12.91998456017707,6.703627368481488,58,Normal,61807773.691795126,Medium
51,148432,90513,255513,5,Medium,7.418636198233662,4.079311329557587,56,Normal,33163034.59286979,High
41,152483,11002,2737333,2,Low,12.747307764489355,6.753173981522799,58,Luxury,10024585.694230672,Medium
55,29127,10218,127296,1,Medium,7.884416178804328,6.1829358434891235,70,Normal,7538901.815695345,High
57,152885,28848,1954912,0,High,13.759812742758642,4.416959244517976,70,Luxury,15179606.311333759,Medium
45,220031,69215,4180998,3,Medium,7.5552527571025925,4.303320053313034,58,Aggressive,35908494.835340895,Medium
21,95142,12542,2240307,5,High,12.773277541691897,6.903634008032952,67,Luxury,81122552.12551735,Medium
49,154932,118109,930245,1,High,11.210391302811118,5.670248424331299,59,Aggressive,61507989.481716864,Medium
36,22613,16824,3525092,4,Medium,6.357242166292656,5.80543617280013,59,Aggressive,18481367.26061773,Low
22,117454,27120,3855514,0,High,11.708584767843195,4.647216370932572,70,Normal,72001178.65578818,Low
30,25707,13819,4867950,4,Low,7.889201845777616,7.265002352173526,70,Luxury,68536155.04187618,Low
53,142703,53367,612953,3,Medium,11.740751543812454,4.753136081818468,67,Luxury,30671323.44774037,High
60,92658,37389,1913114,5,Low,13.808032258860962,6.409399711569122,69,Normal,19619369.356443882,Medium
55,297204,132345,3711516,4,Low,11.917951650398894,5.373904956568452,67,Normal,74409037.47652014,Medium
40,37489,17393,3574828,1,High,13.86611687279428,7.480190861804997,69,Aggressive,42268826.616908796,Low
43,247588,162830,4193682,0,High,6.808509780926984,6.18413511595892,63,Luxury,162199069.27793908,Medium
46,156478,48054,3892128,4,Low,7.752964064326079,6.444586580602521,66,Aggressive,50271563.20111326,Low
54,26207,15141,272519,2,Medium,9.821927667823882,4.47766189605678,66,Aggressive,7683465.646088419,Medium
55,226081,45483,2535655,4,Medium,8.615902127030315,5.21378121364216,66,Aggressive,23865430.51663355,Medium
50,84479,46848,534719,4,Low,7.689474168437283,4.2970940902458405,61,Aggressive,22325777.981755506,Medium
51,59359,39690,432399,0,Low,11.368612865464682,6.782899177241224,63,Normal,26171152.49398945,Medium
22,181847,98332,913462,5,Low,10.570747184433058,6.729288016299201,70,Aggressive,672093224.1614352,High
36,265792,55836,2929091,5,Medium,8.935181215972198,7.801610230935404,66,Luxury,159511864.62113172,Medium
49,115295,52518,178860,5,High,12.726874144567006,7.764130922549114,63,Aggressive,44881634.57443657,High
23,158223,51079,4847300,4,Medium,8.319551520994565,7.886810789494318,49,Aggressive,110291203.83314368,Low
35,207702,157296,1046382,5,High,9.875180872019207,4.80708480186993,55,Aggressive,120684573.34101537,High
49,199539,149713,1072628,5,Low,6.342974756456257,5.751492690813153,57,Luxury,70254284.84737541,High
47,30543,22447,834352,2,High,11.426858466249666,7.065977893606349,58,Luxury,14270721.454526683,Low
40,122066,47107,1686943,0,Medium,13.141500983347338,4.818885619455842,70,Normal,57995306.4673966,Medium
35,279256,185691,4255024,4,Medium,8.790359131163257,6.793080125078486,58,Aggressive,252582757.23679093,Medium
54,88420,67566,4557325,2,Medium,9.677269660678142,7.829319906760027,66,Normal,50083175.39340538,Low
49,175288,108090,34704,3,Low,11.952777621893919,4.2891690108188945,65,Luxury,63494203.98611126,High
47,66874,29944,4031745,0,Low,12.078038158790442,4.940279240604766,61,Luxury,17645017.190725643,Low
51,219626,129788,2192146,5,High,7.053434680646164,6.5343877008484545,61,Normal,73325314.81578004,Medium
44,203049,121040,856488,5,Medium,13.592030690213587,5.80855641681894,52,Normal,57044855.36105979,High
41,112693,53312,476437,5,Low,12.617277053139942,6.219847877319019,50,Aggressive,27529435.497215778,High
22,186912,125582,2235121,5,Low,6.29082252146931,7.691053912371721,54,Aggressive,403456502.87547857,Medium
59,280438,111769,2955537,0,Low,13.809168290252565,7.144540556191574,70,Luxury,71632999.34663168,Medium
46,86776,65216,4354686,0,Medium,10.660307647689216,5.306644441437606,69,Luxury,64262589.652450085,Low
34,106618,45366,3056838,4,High,8.47040423951281,7.563547385359478,62,Normal,104827446.58842362,Low
49,148483,50676,3087775,4,Medium,12.738277584418867,6.646386963256679,65,Normal,42565910.71171851,Medium
26,206236,78907,4413921,1,Low,12.208668630535929,4.232876604313052,58,Aggressive,89204741.64328274,Medium
54,59994,41682,397549,2,Low,13.215899613108315,6.249208537258831,66,Luxury,25880832.824329127,Medium
37,227495,119283,2281733,1,Medium,6.664185034378299,4.038847665644543,56,Luxury,75930269.39255866,Medium
56,213324,62205,4863511,5,Medium,11.49189482940355,4.07543478898536,66,Aggressive,27824597.325831186,Medium
54,106552,49236,3721944,0,High,12.662023879877287,6.633537495031877,64,Luxury,28076449.477075305,Low
53,262131,111398,4479791,3,Low,8.216122094219408,6.2586598003451055,67,Luxury,78180658.61436683,Medium
37,61499,17757,1726191,2,High,11.65704755259748,5.810491524844725,47,Luxury,9370832.341331994,Low
44,226063,122905,800764,0,Low,13.19142814686153,6.840960823777763,49,Luxury,51331000.685051166,High
43,150110,84668,3544378,4,High,12.384659301188396,5.39923874565814,67,Normal,89730468.59003969,Medium
57,80600,15427,4706723,2,Medium,11.783316924398566,4.067230817432124,64,Aggressive,6117876.737057122,Low
28,281584,96274,3327185,0,Medium,12.495328776818859,4.710819028044712,68,Aggressive,182092699.34156653,Medium
26,85463,31016,1018423,5,High,11.111115073791746,6.95669071607425,52,Luxury,53470461.22335826,Medium
25,135209,48233,79871,2,Medium,6.020832290800763,4.93899845383952,70,Aggressive,126656272.36459865,High
41,120486,26548,4101079,2,Low,11.326937470379184,4.315866886572726,67,Luxury,23892562.038103733,Low
40,111328,82073,4279972,5,Medium,11.291331240779598,5.704343539482364,60,Normal,74675515.95807944,Low
23,89079,67062,1939217,5,Medium,13.367223629032651,4.559809208714036,70,Normal,163584637.25392902,Medium
30,102124,49170,4582914,0,Low,13.428178169989327,4.944707112624318,46,Luxury,31929351.668358807,Low
31,26195,18514,1613684,4,Medium,11.348729788520812,5.363797653736982,50,Normal,14988508.236379076,Low
56,76959,55032,287980,2,Medium,9.110177353331753,4.13555186601876,66,Aggressive,24758639.72836935,High
29,67401,10537,4748639,5,High,13.976522752327607,7.969925586231428,47,Normal,12568651.133153299,Low
42,120587,39144,4494748,3,Low,8.75014147264081,5.4260273870702775,52,Aggressive,19918878.245037433,Low
42,227667,122640,4248151,2,Low,7.849445013556157,7.573616990206977,67,Luxury,228243111.78441143,Medium
34,73785,52606,291290,4,Medium,12.40904992699014,4.352344945267965,68,Aggressive,67178726.69539602,High
58,254963,67927,3976847,1,High,11.105333714604576,7.867485987606374,63,Aggressive,29758872.585672203,Medium
30,277322,24894,3165931,1,Low,13.651249005774737,5.687255984746749,53,Normal,26652395.616088316,Medium
